step,bleu
200,0.02030759346557867
400,0.05403245976626247
600,0.04858133566305041
800,0.07406697869875056
1000,0.061935498794762636
1200,0.07123995247550627
1400,0.07114012316516471
1600,0.07087643719693196
1800,0.09069702410408029
2000,0.08310465755060217
2200,0.09571524038117614
2400,0.1114453671362793
2600,0.12046483358546725
2800,0.12005383232852368
3000,0.12333345559582778
3200,0.128476789632917
3400,0.10734414243689307
3600,0.11694385198921052
3800,0.12100514236454353
4000,0.12437114016710688
4200,0.12807771638371318
4400,0.13171136807697817
4600,0.1347261714012698
4800,0.12747190687769905
5000,0.12915539349545105
5200,0.13387923544379518
5400,0.1353719992471597
5600,0.12533619729003553
5800,0.1293923819432557
6000,0.13472740540537315
6200,0.13223979891371368
6400,0.1377717602380861
6600,0.13332273070539183
6800,0.13159398051137833
7000,0.1278564123493969
7200,0.1459552631029889
7400,0.1389408245746391
7600,0.14221162760270134
7800,0.13585412393824844
8000,0.13928729845462418
8200,0.13572467818922604
8400,0.1337289984029696
8600,0.13041245408181984
8800,0.13625762666211783
9000,0.13516249109304218
9200,0.13266927808878132
9400,0.13357139640750873
9600,0.13746533080908843
9800,0.14379030095588383
10000,0.13234902589055114
10200,0.14117486237124208
10400,0.14090591949535997
10600,0.14237749568555522
10800,0.14269942847761696
11000,0.13558586948290322
11200,0.13930532116069436
11400,0.14003315303564956
11600,0.14191675393323028
11800,0.1413497590395193
12000,0.14368459372752762
12200,0.14322616741242689
12400,0.14049450293738164
12600,0.1409144227412845
12800,0.14162457532893344
13000,0.1364923909006803
13200,0.1412410466835255
13400,0.14363942560035994
13600,0.1452781755359862
13800,0.13949699195037485
14000,0.15855505197784175
14200,0.13444176324216692
14400,0.13858469070240434
14600,0.14707835202397718
14800,0.13621886892766275
15000,0.15065457606756397
15200,0.14575266577542895
15400,0.14407957054433518
15600,0.1455057264844178
15800,0.14115872611094687
16000,0.14753357628299674
16200,0.14468707461267352
16400,0.13248359271075233
16600,0.14177927315253555
16800,0.13707122941559433
17000,0.14578426297432956
17200,0.14271874733499917
17400,0.15359786718048207
17600,0.14757983597975993
17800,0.15456710297694246
18000,0.14440314109430982
18200,0.14586528049257985
18400,0.14413092633279992
18600,0.1438623879971699
18800,0.14140060698885695
19000,0.1448523210308599
19200,0.14123604794060213
19400,0.14296382455808343
19600,0.1389109394313318
19800,0.1512424637652953
20000,0.14943884448117084
20200,0.14414439092147668
20400,0.14017250056354866
20600,0.1384007868931309
20800,0.13541377765418622
21000,0.14735010700931764
21200,0.1461075257273337
21400,0.14569089977927407
21600,0.14075723326118897
21800,0.1455817914001716
22000,0.14821035190201476
22200,0.14819678124427735
22400,0.1559815215136244
22600,0.14341100333725446
22800,0.14514315022531904
23000,0.1311333371413104
23200,0.14246181476886371
23400,0.13854512836956448
23600,0.14633593238663092
23800,0.14536823935791596
24000,0.14086094410454955
24200,0.15308259717023784
24400,0.14226860466504473
24600,0.1468884236021601
24800,0.1489866745283482
25000,0.14724112292835143
25200,0.1566423755287054
25400,0.14779559086516836
25600,0.14537002440788954
25800,0.1419365116498245
26000,0.13788269522472688
26200,0.145623550082048
26400,0.14153112778686794
26600,0.1416109413237767
26800,0.1487100687781887
27000,0.13283357663559614
27200,0.13230575093364655
27400,0.14689244594305706
27600,0.1403801010964805
27800,0.1402599160443457
28000,0.13464194758228706
28200,0.14385130855254952
28400,0.15314265789228057
28600,0.1479860480747795
28800,0.14716090170497179
29000,0.14795325247307897
29200,0.14486513935867876
29400,0.14166630262281124
29600,0.14868186246817436
29800,0.14581909384504946
30000,0.14355439958961627
30200,0.15154269160015651
30400,0.14408026376512
30600,0.14238336760176729
30800,0.13794253962275266
31000,0.14340665378389603
31200,0.1432177936105009
31400,0.15598195999400433
31600,0.14825400672960087
31800,0.15481718807802647
32000,0.14950035973923287
32200,0.14713290515550254
32400,0.14025414836140987
32600,0.1295504453700001
32800,0.14003964597410554
33000,0.15494089746115927
33200,0.14536920921609023
33400,0.15134997593833543
33600,0.14346513473919753
33800,0.14677835352492624
34000,0.15257437781102515
34200,0.13485761468004215
34400,0.14306964332278657
34600,0.14761033809161278
34800,0.14687960063420005
35000,0.14914867343182325
35200,0.1362736692173236
35400,0.14425902589296685
35600,0.14230816810219918
35800,0.13959790405313105
36000,0.1482047580003649
36200,0.13006476990404475
36400,0.13582223746352445
36600,0.14677884159124593
36800,0.13795965564833915
37000,0.1388273679594213
37200,0.15031648792696434
37400,0.14411378041928313
37600,0.142188923631404
37800,0.14361312060695616
38000,0.13855229736881866
38200,0.1409026419369786
38400,0.14003720962122715
38600,0.14069952125723995
38800,0.1421119627225272
39000,0.13346753803975828
39200,0.13865821810531348
39400,0.13932535684035538
39600,0.14782347867678536
39800,0.14329350838228608
40000,0.150021347888466
40200,0.15222771912704153
40400,0.14799845308596168
40600,0.13960819232242577
40800,0.15034499825419437
41000,0.1553624984570365
41200,0.1422359657691972
41400,0.14190863099204665
41600,0.13425183594784815
41800,0.15109165662060878
42000,0.14154825854082453
42200,0.15114596358340543
42400,0.14206908951384664
42600,0.13957008762640524
42800,0.14609642440432172
43000,0.13827928003423404
43200,0.1342959806654054
43400,0.13511152522679853
43600,0.14673518551714174
43800,0.14811023065120885
44000,0.15404132605866827
44200,0.14750933907164912
44400,0.16220076193175084
44600,0.15890536882363684
44800,0.1450669034976596
45000,0.14898576274237926
45200,0.14802067757784437
45400,0.15607726551254392
45600,0.142476021289555
45800,0.13954060499803722
46000,0.14247056219137008
46200,0.14825761064457507
46400,0.14251822406955103
46600,0.14601094122533714
46800,0.1515943960003556
47000,0.1469396001612626
47200,0.14321354203034278
47400,0.15751633284008607
47600,0.15084541646406252
47800,0.1526164593758296
48000,0.14850717685869005
48200,0.13568775947587378
48400,0.145851062207014
48600,0.13861750163112085
48800,0.14652283960022355
49000,0.144469467268997
49200,0.1448153392433033
49400,0.14139745090934866
49600,0.14368411876291198
49800,0.1478838522945325
50000,0.13666005898983954
50200,0.1471487289345534
50400,0.14146386755969992
50600,0.14582988701176974
50800,0.14253342416571982
51000,0.1403640080875644
51200,0.1459745207149329
51400,0.148069693399913
51600,0.15199082337275507
51800,0.13734608276424023
52000,0.14586539576250585
52200,0.1450652690053164
52400,0.1407071286494142
52600,0.14208217892401898
52800,0.14277034630296784
53000,0.14627738686734834
53200,0.14912872797367227
53400,0.1413793643850037
53600,0.14390557408166832
53800,0.14491785111745964
54000,0.13904840258562942
54200,0.1519670427789056
54400,0.14956807039737866
54600,0.15303070481358813
54800,0.1495699752585755
55000,0.1469992869418849
55200,0.14721136110909902
55400,0.1464709547724981
55600,0.149977708100918
55800,0.15872618079468137
56000,0.14969634782491195
56200,0.14296748002937273
56400,0.136135491057005
56600,0.15103030122437464
56800,0.152556084588159
57000,0.14636528265787538
57200,0.15445430301001425
57400,0.1351069875189344
57600,0.14756768716646695
57800,0.13205106485305595
58000,0.1428069191523625
58200,0.14535573450226053
58400,0.14817924883685282
58600,0.1435825346840637
58800,0.1503137897037749
59000,0.144386877437658
59200,0.13445081297894165
59400,0.137881536620047
59600,0.1406288599309473
59800,0.1402005627551138
60000,0.14743722970667528
60200,0.14430152497743903
60400,0.15145349209409342
60600,0.14523865852616355
60800,0.14756561135857119
61000,0.14543554534535785
61200,0.14694851844132237
61400,0.14656190567716051
61600,0.143469638143626
61800,0.13507548558087457
62000,0.15267757027255668
62200,0.14204278748497945
62400,0.15187874353506844
62600,0.14395832340671139
62800,0.1375677293180099
63000,0.1511469464742772
63200,0.14872281292047332
63400,0.14910402873131876
63600,0.1464497382469049
63800,0.14431974586752466
64000,0.14737512280733706
64200,0.1417701864437523
64400,0.15825556142979422
64600,0.14991880424933296
64800,0.14192520085518692
65000,0.1392035654658111
65200,0.13989354262318282
65400,0.13491839254453894
65600,0.1437898420643603
65800,0.1512633172268232
